POSTCODE;KELURAHAN;KECAMATAN;JENIS;KABUPATEN;PROVINSI;;
23611;Gampa;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Kampung Belakang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Kampung Darat;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Kampung Pasir;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Leuhan;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Padang Seurahet;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Seuneubok;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Suak Nie;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Suak Raya;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Suak Ribee;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Suak Sigadeng;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23611;Suwak Indrapuri;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23612;Panggong;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23612;Pasar Aceh;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23613;Ujung Kalak;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23614;Kuta Padang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Balee;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Bukit Jaya;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Buloh;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Gunong Kleng;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Langung;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Mesjid Tuha;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Meureubo;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Pasi Aceh Baroh;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Pasi Aceh Tunong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Pasi Mesjid;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Pasi Pinang;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Paya Baro Rp.;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Paya Peunaga;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Peunaga Cut Ujong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Peunaga Pasi;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Peunaga Rayeuk;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Pucok Reudeup;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Pulo Teungoh Ranto;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ranto Panyang Barat;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ranto Panyang Timur;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ranub Dong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Reudeup;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Sumber Batu;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ujong Baroh;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ujong Drien;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ujong Tanjong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23615;Ujong Tanoh Darat;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23616;Rundeng;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23617;Drien Rampak;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23618;Blang Berandang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23618;Lapang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Alue Bagok;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Alue Bakong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Alue Batee;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Alue Lhok;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Alue Raya;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Alue Sundak;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Arongan;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Beurawang;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Blang Sibeutong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Amun;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Buloh;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Darat;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Jurumudi;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Keumuneng;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Kumbang;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Lada;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Lampise;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Mesjid;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Pluh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Seulamat;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Cot Seumeureng;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Deuah;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Drien Rampak;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Gampong Cot;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Gampong Ladang;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Gampong Teungoh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Gunong Panah;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Gunong Pulo;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Karang Hampa;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Keub;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Keureuseng;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Krueng Tinggai;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Kuala Bubon;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Kuala Pling;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Kubu;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Kuta Padang;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Layung;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Leukeun;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Lhok Bubon;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Liceh;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Lubok;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Mesjid Baro;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Pange;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Pante Meutia;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Panton Bahagia;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Panton Makmur;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Paya Lumpat;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Peulanteu Lb;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Peulanteu Sp;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Peuribu;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Pinem;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Pucok Lueng;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Rambong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Rangkileh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Reusak;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Rimba Langgeh;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Seumuleng;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Seuneubok Lueng;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Seuneubok Teungoh;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Seuneubok Trap;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Simpang Peut;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Suak Bidok;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Suak Geudubang;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Suak Ie Beusou;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Suak Keumudee;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Suak Pandan;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
23652;Suak Pangkat;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD);;
